link,img,type,grade,rate&comment,simpleLocation,status
https://www.goodchoice.kr/product/detail?ano=71805&adcno=2&sel_date=2023-10-14&sel_date2=2023-10-15,//image.goodchoice.kr/resize_1000X500x0/affiliate/2022/08/05/62ec5ed2767a9.jpg,호텔,호텔,9.9 최고에요,남은 객실 1개 250,000원,남은 객실 1개 250,000원
https://www.goodchoice.kr/product/detail?ano=75158&adcno=2&sel_date=2023-10-14&sel_date2=2023-10-15,//image.goodchoice.kr/resize_1000X500x0/affiliate/2023/07/10/64ab861b6f3ca.jpg,호텔,호텔,9.6 최고에요,숙박 다른날짜 확인,숙박 다른날짜 확인 
https://www.goodchoice.kr/product/detail?ano=67361&adcno=2&sel_date=2023-10-14&sel_date2=2023-10-15,//image.goodchoice.kr/resize_1000X500x0/affiliate/2021/02/18/602dc1c8d708c.jpg,호텔,호텔,9.6 최고에요,남은 객실 1개 200,000원,남은 객실 1개 200,000원
https://www.goodchoice.kr/product/detail?ano=73430&adcno=2&sel_date=2023-10-14&sel_date2=2023-10-15,//image.goodchoice.kr/resize_1000X500x0/affiliate/2023/01/18/63c7a144106c4.jpg,호텔,호텔,9.6 최고에요,판매 완료,판매 완료
https://www.goodchoice.kr/product/detail?ano=67159&adcno=2&sel_date=2023-10-14&sel_date2=2023-10-15,//image.goodchoice.kr/resize_1000X500x0/affiliate/2021/04/13/6074efbbd6992.jpg,호텔,호텔,9.6 최고에요,440,000363,000원,440,000363,000원
https://www.goodchoice.kr/product/detail?ano=73446&adcno=2&sel_date=2023-10-14&sel_date2=2023-10-15,//image.goodchoice.kr/resize_1000X500x0/affiliate/2023/01/25/63d078bcbffa1.jpg,호텔,호텔,10.0 최고에요,숙박 다른날짜 확인,숙박 다른날짜 확인 
https://www.goodchoice.kr/product/detail?ano=65058&adcno=2&sel_date=2023-10-14&sel_date2=2023-10-15,//image.goodchoice.kr/resize_1000X500x0/affiliate/2020/05/12/5eb9f98aadd29.jpg,호텔,호텔,9.3 추천해요,숙박 다른날짜 확인,숙박 다른날짜 확인 
https://www.goodchoice.kr/product/detail?ano=70072&adcno=2&sel_date=2023-10-14&sel_date2=2023-10-15,//image.goodchoice.kr/resize_1000X500x0/affiliate/2022/07/05/62c385ee3baa8.jpg,호텔,호텔,9.6 최고에요,남은 객실 1개 650,000원,남은 객실 1개 650,000원
https://www.goodchoice.kr/product/detail?ano=75937&adcno=2&sel_date=2023-10-14&sel_date2=2023-10-15,//image.goodchoice.kr/resize_1000X500x0/affiliate/2023/09/20/650a733553e4c.jpg,호텔,호텔,10.0 최고에요,숙박 다른날짜 확인,숙박 다른날짜 확인 
