link,img,type,grade,rate&comment,simpleLocation,status
https://www.goodchoice.kr/product/detail?ano=68889&adcno=2&sel_date=2023-10-14&sel_date2=2023-10-15,//image.goodchoice.kr/resize_1000X500x0/affiliate/2021/08/26/6126f7c47c010.jpg,호텔,호텔,9.6 최고에요,판매 완료,판매 완료
https://www.goodchoice.kr/product/detail?ano=6307&adcno=2&sel_date=2023-10-14&sel_date2=2023-10-15,//image.goodchoice.kr/resize_1000X500x0/affiliate/2021/04/21/607fc73ac65f7.jpg,호텔,호텔,8.9 만족해요,남은 객실 1개 300,000원,남은 객실 1개 300,000원
https://www.goodchoice.kr/product/detail?ano=6910&adcno=2&sel_date=2023-10-14&sel_date2=2023-10-15,//image.goodchoice.kr/resize_1000X500x0/affiliate/2020/06/12/5ee2ce314b98e.jpg,호텔,호텔,9.6 최고에요,숙박 다른날짜 확인,숙박 다른날짜 확인 
https://www.goodchoice.kr/product/detail?ano=57942&adcno=2&sel_date=2023-10-14&sel_date2=2023-10-15,//image.goodchoice.kr/resize_1000X500x0/affiliate/2022/11/09/636af36382555.png,호텔,호텔,8.8 만족해요,숙박 다른날짜 확인,숙박 다른날짜 확인 
https://www.goodchoice.kr/product/detail?ano=66991&adcno=2&sel_date=2023-10-14&sel_date2=2023-10-15,//image.goodchoice.kr/resize_1000X500x0/affiliate/2022/08/22/630338ca80710.jpg,호텔,호텔,9.5 추천해요,판매 완료,판매 완료
https://www.goodchoice.kr/product/detail?ano=75567&adcno=2&sel_date=2023-10-14&sel_date2=2023-10-15,//image.goodchoice.kr/resize_1000X500x0/affiliate/2023/09/01/64f18c798c820.jpg,호텔,호텔,9.5 추천해요,숙박 다른날짜 확인,숙박 다른날짜 확인 
https://www.goodchoice.kr/product/detail?ano=12775&adcno=2&sel_date=2023-10-14&sel_date2=2023-10-15,//image.goodchoice.kr/resize_1000X500x0/affiliate/2023/02/10/63e5c38ec1248.jpg,호텔,호텔,9.4 추천해요,판매 완료,판매 완료
https://www.goodchoice.kr/product/detail?ano=72907&adcno=2&sel_date=2023-10-14&sel_date2=2023-10-15,//image.goodchoice.kr/resize_1000X500x0/affiliate/2022/12/06/638f0816e3073.jpg,호텔,호텔,9.6 최고에요,남은 객실 1개 209,000원,남은 객실 1개 209,000원
https://www.goodchoice.kr/product/detail?ano=75338&adcno=2&sel_date=2023-10-14&sel_date2=2023-10-15,//image.goodchoice.kr/resize_1000X500x0/affiliate/2023/08/23/64e5af38d75e3.jpg,호텔,호텔,9.9 최고에요,판매 완료,판매 완료
https://www.goodchoice.kr/product/detail?ano=61754&adcno=2&sel_date=2023-10-14&sel_date2=2023-10-15,//image.goodchoice.kr/resize_1000X500x0/affiliate/2019/09/16/5d7f46cee2c20.jpg,호텔,호텔,9.5 추천해요,남은 객실 2개 200,000원,남은 객실 2개 200,000원
https://www.goodchoice.kr/product/detail?ano=66020&adcno=2&sel_date=2023-10-14&sel_date2=2023-10-15,//image.goodchoice.kr/resize_1000X500x0/affiliate/2020/08/07/5f2c9fda12b76.jpg,호텔,호텔,9.9 최고에요,판매 완료,판매 완료
https://www.goodchoice.kr/product/detail?ano=65560&adcno=2&sel_date=2023-10-14&sel_date2=2023-10-15,//image.goodchoice.kr/resize_1000X500x0/affiliate/2021/07/26/60fe6d0fb5bf4.jpg,호텔,호텔,9.5 추천해요,190,000원,190,000원
